contract,label,sector,method,method_name,direction,n_signals,win_rate,avg_return,avg_loss,avg_weeks,reward_risk,horizon
heating_oil,Heating Oil,Energies,B,Hybrid,long,6,1.0,0.09228576732459592,0.0,8.285714285714286,,
heating_oil,Heating Oil,Energies,B,Hybrid,short,13,0.7692307692307693,-0.0004514966033196079,-0.14930991556652798,5.032967032967033,0.2960689443692441,
heating_oil,Heating Oil,Energies,C,Shapiro,long,4,1.0,0.09483682666152737,0.0,8.571428571428571,,
heating_oil,Heating Oil,Energies,C,Shapiro,short,7,0.8571428571428571,0.015163527397444436,-0.1427666016139637,4.2857142857142865,0.29058067571144647,
natgas,Natural Gas,Energies,A,Current,long,44,0.4318181818181818,-0.0068745484955128056,-0.13948854859225476,,,3m
natgas,Natural Gas,Energies,A,Current,short,31,0.5161290322580645,0.0002535025368152558,-0.13357472783055832,,,3m
natgas,Natural Gas,Energies,B,Hybrid,long,5,0.8,0.11155993529439005,-0.08161498664043465,20.4,1.958631280335218,
natgas,Natural Gas,Energies,B,Hybrid,short,5,0.6,0.09008094788632989,-0.0318792940800765,12.885714285714286,5.376147145336127,
natgas,Natural Gas,Energies,C,Shapiro,long,2,1.0,0.13053749789114588,0.0,24.785714285714285,,
natgas,Natural Gas,Energies,C,Shapiro,short,3,1.0,0.1795463831202403,0.0,10.857142857142856,,
cocoa,Cocoa,Softs,A,Current,long,40,0.575,-0.008678752818129465,-0.12224252398548503,,,3m
cocoa,Cocoa,Softs,A,Current,short,37,0.32432432432432434,-0.05675500768306589,-0.13298573879174458,,,3m
cocoa,Cocoa,Softs,B,Hybrid,long,14,0.7142857142857143,0.02479677103897945,-0.06312427163390322,13.438775510204085,0.949954535014801,
cocoa,Cocoa,Softs,B,Hybrid,short,16,0.5,-0.03262683270156708,-0.1348166289079842,14.928571428571429,0.5159820718579794,
cocoa,Cocoa,Softs,C,Shapiro,long,5,0.8,0.04422246285278501,-0.007601351351351315,12.628571428571428,7.5221383357913485,
cocoa,Cocoa,Softs,C,Shapiro,short,10,0.3,-0.08010391630088827,-0.13034104421733608,18.8,0.2847610210610338,
